date,CF,FG,MA,OI,RM,SR,TA,ZC
20160301,0.994280273689,0.888000019922,1.11424262117,1.04869352462,1.59800327588,1.33998398765,1.29763305437,1.0478216698
20160302,0.990583121317,0.887409628818,1.10030006039,1.04889397799,1.58786176229,1.33661577811,1.29749410407,1.04762365463
20160303,0.991629339781,0.888909211238,1.12107022348,1.04902213398,1.58440794642,1.32730057104,1.28350309602,1.04760513641
20160304,0.985669206543,0.88722171472,1.14374706253,1.04902213398,1.57755818727,1.32854537005,1.27983231987,1.04124463762
20160307,0.985658780043,0.902272668042,1.16535657043,1.047740013,1.55714754754,1.32282121933,1.30942069309,1.02478954452
20160308,0.988273737173,0.845305065783,1.18459385699,1.04182462753,1.59743351957,1.315416318,1.32231736017,0.958555096763
20160309,0.982213881469,0.838009918454,1.2140977547,1.04148313796,1.58793717908,1.31868026484,1.32292826452,0.964363069243
20160310,0.98009753621,0.825432425973,1.24246009273,1.04148313796,1.60400824851,1.32778221702,1.32934402879,0.945586636665
20160311,0.980159306472,0.824254744744,1.24007862582,1.04923748843,1.59750700648,1.31468811575,1.32853334255,0.956564838044
20160314,0.984177984684,0.819471124027,1.25494481959,1.04604660662,1.59410259272,1.31705888685,1.31029757976,0.91802635317
20160315,0.981270013674,0.81991894751,1.25804210254,1.04538312782,1.60529582946,1.31591475567,1.31461258781,0.918658849498
20160316,0.979593677229,0.818484445731,1.2618244202,1.04573637189,1.59598902465,1.31545024376,1.32457320056,0.921552762207
20160317,0.98252496832,0.818967442549,1.24694176325,1.05091273096,1.60718856961,1.32439710864,1.32177408164,0.917608252552
20160318,0.984018958625,0.820447413005,1.23621544049,1.05066101334,1.61941794462,1.3182455785,1.31811709685,0.898556149804
20160321,0.975668703076,0.827729318427,1.22930076747,1.04202003617,1.60963863672,1.31921143205,1.33484801986,0.913954077491
20160322,0.98654062967,0.819155489587,1.2534629404,1.03937733059,1.61289114804,1.31358895052,1.32900759816,0.911916445281
20160323,0.994232966307,0.818538192006,1.24413259545,1.03973122241,1.60686439743,1.31615947576,1.32133660752,0.897866097886
20160324,1.00221959452,0.822381421577,1.27167660513,1.0391097179,1.64386825219,1.31370503876,1.34227854232,0.908078301105
20160325,1.00299675902,0.822381421577,1.26467665266,1.03748368802,1.64559083244,1.31595202377,1.35921454532,0.90473461825
20160328,1.00782142139,0.817490734312,1.2533049561,1.03377731145,1.6196168813,1.31920606611,1.34120696776,0.910750751323
20160329,1.01324038711,0.815857134775,1.25163610665,1.02731254351,1.60691506644,1.31480756697,1.33896641245,0.9136818975
20160330,1.01308035301,0.816763565498,1.25275388133,1.03529197966,1.59963315102,1.31573744464,1.33620446676,0.920226005682
20160331,1.02504045289,0.81460917562,1.27356548052,1.03624848574,1.61094759185,1.31671511411,1.33251585728,0.920042237489
20160401,1.02268627052,0.809898246796,1.27350937421,1.03726006684,1.61464437577,1.32530279753,1.33031298604,0.918760488818
20160405,1.02315926096,0.807395223812,1.26950576102,1.03726006684,1.61752128856,1.32741171462,1.33438430797,0.918241735291
20160406,1.01844780179,0.804126288265,1.27059286764,1.03726006684,1.62925882233,1.33204081016,1.33628223296,0.908531058347
20160407,1.01712442947,0.803291577744,1.26933789907,1.04274365788,1.63194147598,1.33157082605,1.32964289392,0.902690211567
20160408,1.01676658086,0.801234392414,1.26462139818,1.04274365788,1.63209183471,1.3398214663,1.32248845466,0.900904760258
20160411,1.03089555032,0.792930774766,1.25052123652,1.03622104948,1.64897303743,1.3378737917,1.3154536431,0.89475034593
20160412,1.0268444675,0.788105895537,1.25125212347,1.03487520177,1.65339033837,1.33254083439,1.31313295465,0.89402347409
20160413,1.04311370262,0.776082269499,1.24492589796,1.0381496219,1.63391195525,1.33065490745,1.31893434222,0.886341237779
20160414,1.04062416324,0.773221766208,1.22597188234,1.03391526081,1.63916686698,1.33615810564,1.34337762977,0.888140906737
20160415,1.03024931835,0.771132210692,1.24787091703,1.03295920204,1.63332349768,1.33294376177,1.36711132789,0.936894353631
20160418,1.07529228443,0.764211218481,1.24897717544,1.02474413271,1.63643437651,1.33091530712,1.36748785155,0.960937794413
20160419,1.07497913212,0.766684168399,1.22885395307,1.02389109308,1.63519794733,1.33885690558,1.35771083711,0.968108085515
20160420,1.05151309714,0.756035624507,1.20506674007,1.03152438635,1.66533171633,1.3358808084,1.35460898455,0.972728711907
20160421,0.994769937801,0.756391031841,1.22641639291,1.03833438095,1.65170538022,1.32533351608,1.38768106391,0.949879459202
20160422,1.00780559849,0.780898457389,1.24330442308,1.05688665933,1.74119726169,1.3467120506,1.38495274314,0.976487431125
20160425,0.978177472962,0.777599853183,1.24239411785,1.04945320408,1.70993105705,1.34618151484,1.40699576494,0.957979377577
20160426,0.96106871228,0.785360350291,1.23902402732,1.04934310004,1.73003487291,1.34137178312,1.40838727001,0.952451804095
